-4.783327443759360920e-01,-3.038512519350572982e-01,3.290055480558983780e-01,-1.835117236229675264e+00,1.484610503811300553e-01,2.265551055656477519e+00,-2.312863548118027524e+00
-4.567314965461033438e-01,-3.670940861602383087e-01,3.058308611127880661e-01,-1.943867236229675166e+00,1.680881267737847073e-01,2.327769668484453103e+00,-2.182363548118027463e+00
-4.491836103712251727e-01,-4.293279642412071162e-01,2.981550898269953453e-01,-2.045357735193689130e+00,1.864404106819828599e-01,2.384314488489355455e+00,-2.057144158733438033e+00
-4.556885270206825767e-01,-4.873018754634481642e-01,3.047249947900757538e-01,-2.133369029920861415e+00,2.050846156730549708e-01,2.431729285888163172e+00,-1.937527097027494261e+00
-4.724018570352215285e-01,-5.424485594677888045e-01,3.217403905258817698e-01,-2.210672865103885165e+00,2.250867092980138040e-01,2.470968556529092197e+00,-1.823602553634166679e+00
-5.035115336801510022e-01,-5.838891941088857340e-01,3.516407839432653115e-01,-2.258386225980127282e+00,2.444456131511746899e-01,2.493127005305925348e+00,-1.713243745743439739e+00
-5.380216863037744490e-01,-6.267659075484892650e-01,3.855290458535948206e-01,-2.303292918569531444e+00,2.654818544600141550e-01,2.510021890859569282e+00,-1.608385596184519040e+00
-5.745743651411787667e-01,-6.711889373361729083e-01,4.223993723180305970e-01,-2.345558041006617689e+00,2.882889129295026498e-01,2.521356805810336610e+00,-1.508849871309121848e+00
-6.116614273102564114e-01,-7.171154522197963344e-01,4.611041360768168285e-01,-2.385336979770934285e+00,3.127225001554743145e-01,2.526957751392871820e+00,-1.414416409825010046e+00
-6.477423109336626350e-01,-7.642961649827784143e-01,5.004402493878132852e-01,-2.422775980960879316e+00,3.383622052187691409e-01,2.526821676845404596e+00,-1.324782679364486349e+00
-6.813965453491758195e-01,-8.122552433530469962e-01,5.392688608270170825e-01,-2.458012687963180731e+00,3.645490403204034724e-01,2.521149043385270350e+00,-1.239562457613585744e+00
-7.123629947720201416e-01,-8.597352090481285014e-01,5.771497897968960178e-01,-2.489860133061311931e+00,3.906693508266149695e-01,2.509731606994179298e+00,-1.158436966883342523e+00
-7.417021155722189896e-01,-9.051770161301988527e-01,6.143314673227118217e-01,-2.516169288797238668e+00,4.166303051505297339e-01,2.492027132922415067e+00,-1.081480585599325250e+00
-7.691317570005749005e-01,-9.484399480105006885e-01,6.502190079104201992e-01,-2.537559289043980204e+00,4.424019493435433770e-01,2.468840716948692560e+00,-1.008842886016202423e+00
-7.946071274084035574e-01,-9.894529045420489277e-01,6.844297430442134456e-01,-2.554666930321822349e+00,4.681086446115923505e-01,2.441048413376562198e+00,-9.407105242055993077e-01
-8.182595731191402155e-01,-1.028242443020724428e+00,7.167579077625428896e-01,-2.568129003537721111e+00,4.939863753603460639e-01,2.409533381984343414e+00,-8.772629935357831865e-01
