9.802221634810023843e-02,8.813058374569151532e-01,-9.862283818488307152e-02,-1.545110918043820947e+00,7.314848116370264997e-02,3.159261943843629350e+00,-2.463463071222452339e+00
9.802209328386962683e-02,8.813040159900495940e-01,-9.862271434903684131e-02,-1.545112113338305226e+00,7.314838857989455767e-02,3.159261383471367868e+00,-2.463462935797844366e+00
9.802123926637287821e-02,8.812913757243502344e-01,-9.862185497683026436e-02,-1.545120408213251473e+00,7.314774608457617899e-02,3.159257494707643055e+00,-2.463461996004177923e+00
9.801894367921745732e-02,8.812573988659244684e-01,-9.861954499628929061e-02,-1.545142704721759630e+00,7.314601906609481674e-02,3.159247041764826402e+00,-2.463459469851870587e+00
9.801451788674261922e-02,8.811918929564738212e-01,-9.861509145399137422e-02,-1.545185691423152319e+00,7.314268944936445915e-02,3.159226888944425493e+00,-2.463454599539783185e+00
9.800729500857599530e-02,8.810849875365185380e-01,-9.860782328820848208e-02,-1.545255845572654385e+00,7.313725552625989501e-02,3.159193999610527381e+00,-2.463446651207130245e+00
9.799662969419015157e-02,8.809271308086229491e-01,-9.859709110205019944e-02,-1.545359435311072893e+00,7.312923178601099528e-02,3.159145435163243310e+00,-2.463434914685395771e+00
9.798189789745927192e-02,8.807090863006195036e-01,-9.858226693660675222e-02,-1.545502521854477118e+00,7.311814874559678656e-02,3.159078354012152978e+00,-2.463418703250245922e+00
9.796249665121561923e-02,8.804219295288335800e-01,-9.856274404409209877e-02,-1.545690961683877873e+00,7.310355278013974667e-02,3.158990010549751482e+00,-2.463397353373442122e+00
9.793784384180630187e-02,8.800570446613084075e-01,-9.853793666098699389e-02,-1.545930408734907724e+00,7.308500595329993355e-02,3.158877754124890913e+00,-2.463370224474754622e+00
9.790737798364970712e-02,8.796061211810294322e-01,-9.850727978118205275e-02,-1.546226316587500538e+00,7.306208584766916980e-02,3.158739028016227746e+00,-2.463336698673876057e+00
9.787055799379222598e-02,8.790611505491491284e-01,-9.847022892912074554e-02,-1.546583940655570588e+00,7.303438539516528272e-02,3.158571368405666657e+00,-2.463296180542334124e+00
9.782686296646478374e-02,8.784144228682116973e-01,-9.842625993294258635e-02,-1.547008340376694102e+00,7.300151270742621934e-02,3.158372403351805247e+00,-2.463248096855406910e+00
9.777579194763942605e-02,8.776585235453778777e-01,-9.837486869762605834e-02,-1.547504381401786810e+00,7.296309090620431426e-02,3.158139851763378303e+00,-2.463191896344033793e+00
9.771686370958598822e-02,8.767863299556489798e-01,-9.831557097813177493e-02,-1.548076737784785495e+00,7.291875795376039082e-02,3.157871522372704298e+00,-2.463127049446731220e+00
9.764961652542861192e-02,8.757910081050925832e-01,-9.824790215254551595e-02,-1.548729894172327093e+00,7.286816648325802892e-02,3.157565312709127436e+00,-2.463053048061504047e+00
9.757360794370240065e-02,8.746660092940662379e-01,-9.817141699522123621e-02,-1.549468147993427802e+00,7.281098362915770783e-02,3.157219208072465921e+00,-2.462969405297760428e+00
9.748841456290995022e-02,8.734050667804429402e-01,-9.808568944992422656e-02,-1.550295611649164185e+00,7.274689085761101848e-02,3.156831280506452675e+00,-2.462875655228224936e+00
9.739363180607803205e-02,8.720021924428349447e-01,-9.799031240297405299e-02,-1.551216214702352048e+00,7.267558379685480630e-02,3.156399687772183604e+00,-2.462771352640851230e+00
9.728887369531415141e-02,8.704516734438193515e-01,-9.788489745638775941e-02,-1.552233706067225771e+00,7.259677206760542512e-02,3.155922672321560984e+00,-2.462656072790736506e+00
9.717377262636309188e-02,8.687480688931621398e-01,-9.776907470102280673e-02,-1.553351656199119857e+00,7.251017911345289391e-02,3.155398560270737729e+00,-2.462529411152033720e+00
9.704797914316361240e-02,8.668862065110430892e-01,-9.764249248972019235e-02,-1.554573459284146475e+00,7.241554203125503963e-02,3.154825760373562993e+00,-2.462390983169866931e+00
9.691116171240495014e-02,8.648611792912804797e-01,-9.750481721044751415e-02,-1.555902335428877015e+00,7.231261140153177891e-02,3.154202762995026443e+00,-2.462240424012242190e+00
9.676300649808350363e-02,8.626683421645554573e-01,-9.735573305944199285e-02,-1.557341332850020521e+00,7.220115111885921921e-02,3.153528139084702975e+00,-2.462077388321963323e+00
9.660321713605936333e-02,8.603033086616372893e-01,-9.719494181435360536e-02,-1.558893330064104576e+00,7.208093822226392666e-02,3.152800539150198311e+00,-2.461901549968543712e+00
9.643151450861292551e-02,8.577619475766073975e-01,-9.702216260738806552e-02,-1.560561038077154628e+00,7.195176272561704112e-02,3.152018692230592833e+00,-2.461712601800120304e+00
9.624763651900150596e-02,8.550403796300846126e-01,-9.683713169844994362e-02,-1.562347002574373089e+00,7.181342744802848843e-02,3.151181404869886293e+00,-2.461510255395366720e+00
9.605133786601592616e-02,8.521349741324492078e-01,-9.663960224828570256e-02,-1.564253606109820227e+00,7.166574784424119271e-02,3.150287560090444305e+00,-2.461294240815408152e+00
9.584238981853712702e-02,8.490423456470683750e-01,-9.642934409162676190e-02,-1.566283070296093261e+00,7.150855183502524692e-02,3.149336116366440397e+00,-2.461064306355732700e+00
9.562057999009272724e-02,8.457593506535200367e-01,-9.620614351033257572e-02,-1.568437457994006357e+00,7.134167963757209741e-02,3.148326106597302942e+00,-2.460820218298104933e+00
9.538571211341365097e-02,8.422830842108182114e-01,-9.596980300653365492e-02,-1.570718675502270179e+00,7.116498359588871447e-02,3.147256637081158548e+00,-2.460561760662482111e+00
9.513760581499072777e-02,8.386108766206372689e-01,-9.572014107577467290e-02,-1.573128474747171879e+00,7.097832801119186019e-02,3.146126886488278540e+00,-2.460288734958924195e+00
9.487609638963127867e-02,8.347402900905368517e-01,-9.545699198015751563e-02,-1.575668455472254870e+00,7.078158897230214797e-02,3.144936104834521462e+00,-2.460000959939508292e+00
9.460103457501570223e-02,8.306691153971864638e-01,-9.518020552148434565e-02,-1.578340067427998150e+00,7.057465418603833807e-02,3.143683612454779563e+00,-2.459698271350243104e+00
9.431228632625410224e-02,8.263953685495899482e-01,-9.488964681440061055e-02,-1.581144612561496965e+00,7.035742280761150824e-02,3.142368798976423072e+00,-2.459380521682981602e+00
9.400973259044284602e-02,8.219172874523105188e-01,-9.458519605953819021e-02,-1.584083247206141465e+00,7.012980527101916883e-02,3.140991122292745352e+00,-2.459047579927334581e+00
9.369326908122121988e-02,8.172333285686952387e-01,-9.426674831665843302e-02,-1.587156984271297588e+00,6.989172311943954441e-02,3.139550107536406287e+00,-2.458699331322583337e+00
